geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000185168.5	LINC00482	lncRNA	lincRNA	1	0	1	1	6	1	6	2	0	2
ENSG00000185176.12	AQP12B	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185177.12	ZNF479	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185186.8	LINC00313	lncRNA	lincRNA	0	0	0	0	0	0	0	0	0	0
ENSG00000185187.12	SIGIRR	protein_coding	protein_coding	58	69	88	27	35	44	63	19	11	32
ENSG00000185189.17	NRBP2	protein_coding	protein_coding	176	198	200	229	235	208	253	207	331	473
ENSG00000185198.11	PRSS57	protein_coding	protein_coding	0	0	1	0	6	1	3	0	0	0
ENSG00000185201.16	IFITM2	protein_coding	protein_coding	233	278	233	331	373	357	393	159	238	606
ENSG00000185203.12	WASIR1	lncRNA	antisense	0	0	0	0	0	0	0	0	0	0
ENSG00000185215.8	TNFAIP2	protein_coding	protein_coding	45	65	59	133	157	141	166	46	51	67
ENSG00000185219.16	ZNF445	protein_coding	protein_coding	101	110	80	150	161	148	176	104	181	947
ENSG00000185220.11	PGBD2	protein_coding	protein_coding	5	15	8	11	16	9	14	15	33	154
ENSG00000185222.9	TCEAL9	protein_coding	protein_coding	293	338	312	371	396	348	469	157	255	2177
ENSG00000185231.4	MC2R	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185236.11	RAB11B	protein_coding	protein_coding	151	118	118	146	172	152	176	127	203	1213
ENSG00000185238.12	PRMT3	protein_coding	protein_coding	65	69	62	45	50	63	55	23	36	211
ENSG00000185245.7	GP1BA	protein_coding	protein_coding	5	3	3	3	5	5	1	0	4	8
ENSG00000185246.17	PRPF39	protein_coding	protein_coding	60	94	81	91	90	93	93	70	112	488
ENSG00000185247.14	MAGEA11	protein_coding	protein_coding	5	6	5	0	0	1	1	0	2	0
ENSG00000185250.15	PPIL6	protein_coding	protein_coding	3	2	3	6	6	7	8	3	10	250
ENSG00000185252.18	ZNF74	protein_coding	protein_coding	81	92	87	64	70	74	79	59	82	524
ENSG00000185261.14	KIAA0825	protein_coding	protein_coding	15	22	17	3	6	5	1	2	6	52
ENSG00000185262.8	UBALD2	protein_coding	protein_coding	75	130	94	58	53	53	66	23	33	179
ENSG00000185264.11	TEX33	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	1
ENSG00000185267.9	CDNF	protein_coding	protein_coding	2	2	4	6	11	6	10	4	4	20
ENSG00000185269.11	NOTUM	protein_coding	protein_coding	1	3	0	7	5	4	6	15	13	43
