geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000213030.5	CGB8	protein_coding	protein_coding	1.44495	1.4399	1.05276	0.1	0.1	0.1	0.0798014	0.1	0.1	0.0329006
ENSG00000213047.12	DENND1B	protein_coding	protein_coding	1.0108	1.55379	2.05679	3.35458	1.34737	2.37553	3.49015	1.89653	3.65878	2.87153
ENSG00000213057.5	C1orf220	lncRNA	lincRNA	0.306229	0.135142	0.154053	0.173206	0.802235	0.910671	0.572319	2.16446	0.352069	0.409172
ENSG00000213062.4	AL021068.1	lncRNA	lincRNA	0.1	0.1	0.1	0.1	1.02892	0.528137	0.460328	1.78688	0.566279	0.817111
ENSG00000213064.9	SFT2D2	protein_coding	protein_coding	2.85725	3.52973	2.87987	4.43365	4.31861	4.42355	4.51406	6.56281	5.71045	7.99624
ENSG00000213066.12	FGFR1OP	protein_coding	protein_coding	12.9641	16.2011	15.0792	14.5862	13.4745	13.7855	12.9678	15.8113	11.8365	16.4516
ENSG00000213079.9	SCAF8	protein_coding	protein_coding	12.2079	12.1478	11.7248	11.3801	12.1485	12.1503	13.3554	14.9195	16.0898	13.5463
ENSG00000213085.9	CFAP45	protein_coding	protein_coding	0.502815	0.1	0.220998	2.04974	0.920477	0.755905	0.472601	1.08915	0.758406	13.8324
ENSG00000213088.10	ACKR1	protein_coding	protein_coding	0.1	0.1	0.1	0.22636	0.1	0.1	0.1	1.94753	0.920883	0.417476
ENSG00000213096.10	ZNF254	protein_coding	protein_coding	9.84068	10.5492	8.40425	5.69798	5.43002	8.03315	5.92604	6.36584	8.17739	16.5951
ENSG00000213121.2	AL590867.1	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213123.10	TCTEX1D2	protein_coding	protein_coding	10.8208	14.3604	15.8698	40.3143	30.5844	31.4782	33.296	28.5613	54.2131	55.6682
