lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor
ENSG00000236939.2	ENSG00000236939	BAALC-AS2	BAALC	ENSG00000164929.16	ENSG00000164929	0.6969609986226294	0.025099263383665377
ENSG00000237009.2	ENSG00000237009	GLIS3-AS1	GLIS3	ENSG00000107249.22	ENSG00000107249	-0.7743530899103755	0.008550412757932674
ENSG00000237036.4	ENSG00000237036	ZEB1-AS1	ZEB1	ENSG00000148516.21	ENSG00000148516	0.6752883977521161	0.03213073119007112
ENSG00000237149.5	ENSG00000237149	ZNF503-AS2	ZNF503	ENSG00000165655.16	ENSG00000165655	0.9796165053615252	7.369360995399034e-7
ENSG00000237187.8	ENSG00000237187	NR2F1-AS1	NR2F1	ENSG00000175745.12	ENSG00000175745	0.8993979661277541	3.962667596162518e-4
ENSG00000237512.6	ENSG00000237512	UNC5B-AS1	UNC5B	ENSG00000107731.12	ENSG00000107731	0.7055965715369243	0.022619503610322257
ENSG00000237737.5	ENSG00000237737	DCTN1-AS1	DCTN1	ENSG00000204843.12	ENSG00000204843	0.7419514877826959	0.014014144842444119
ENSG00000237928.5	ENSG00000237928	NFIA-AS2	NFIA	ENSG00000162599.15	ENSG00000162599	0.8220214488935678	0.0035200427620654005
ENSG00000237943.6	ENSG00000237943	PRKCQ-AS1	PRKCQ	ENSG00000065675.14	ENSG00000065675	0.8447858515269143	0.0020961953224849957
ENSG00000238057.9	ENSG00000238057	ZEB2-AS1	ZEB2	ENSG00000169554.19	ENSG00000169554	0.7895090813014982	0.0066035918221845425
ENSG00000238133.6	ENSG00000238133	MAP3K20-AS1	MAP3K20	ENSG00000091436.16	ENSG00000091436	-0.6336400291818318	0.04917798241219509
ENSG00000238197.5	ENSG00000238197	PAXBP1-AS1	PAXBP1	ENSG00000159086.14	ENSG00000159086	0.6634710439976075	0.03647767366001807
ENSG00000239322.1	ENSG00000239322	ATP6V1B1-AS1	ATP6V1B1	ENSG00000116039.12	ENSG00000116039	0.750197319468939	0.012441766094165307
ENSG00000239569.3	ENSG00000239569	KMT2E-AS1	KMT2E	ENSG00000005483.20	ENSG00000005483	-0.786259399286509	0.006991333691070172
ENSG00000240541.2	ENSG00000240541	TM4SF1-AS1	TM4SF1	ENSG00000169908.11	ENSG00000169908	0.6996752053192458	0.024300716842380984
ENSG00000242797.3	ENSG00000242797	GLYCTK-AS1	GLYCTK	ENSG00000168237.17	ENSG00000168237	0.9101985104077582	2.549917864458766e-4
ENSG00000243410.1	ENSG00000243410	PSMD6-AS1	PSMD6	ENSG00000163636.10	ENSG00000163636	0.6717437203295858	0.03339548413901713
ENSG00000243902.6	ENSG00000243902	ELFN2	ELFN2	ENSG00000166897.14	ENSG00000166897	0.7680220248739459	0.009472367701482775
ENSG00000244300.2	ENSG00000244300	GATA2-AS1	GATA2	ENSG00000179348.11	ENSG00000179348	0.8041271895191943	0.005046247070660122
ENSG00000244586.1	ENSG00000244586	WNT5A-AS1	WNT5A	ENSG00000114251.14	ENSG00000114251	0.6328663555494547	0.04954170109817535
ENSG00000245149.3	ENSG00000245149	RNF139-AS1	RNF139	ENSG00000170881.4	ENSG00000170881	0.6449543222115227	0.044060708510383045
ENSG00000245534.6	ENSG00000245534	RORA-AS1	RORA	ENSG00000069667.15	ENSG00000069667	0.6628874505326271	0.036702099221985356
ENSG00000246263.2	ENSG00000246263	UBR5-AS1	UBR5	ENSG00000104517.12	ENSG00000104517	0.7262578602079724	0.017381140100240212
ENSG00000246859.2	ENSG00000246859	STARD4-AS1	STARD4	ENSG00000164211.12	ENSG00000164211	-0.8584734400240933	0.0014743448574442647
ENSG00000247271.6	ENSG00000247271	ZBED5-AS1	ZBED5	ENSG00000236287.7	ENSG00000236287	0.6805878109390912	0.030301219282887468
ENSG00000247556.6	ENSG00000247556	OIP5-AS1	OIP5	ENSG00000104147.8	ENSG00000104147	0.9424847261054596	4.464949198642443e-5
ENSG00000247809.7	ENSG00000247809	NR2F2-AS1	NR2F2	ENSG00000185551.14	ENSG00000185551	0.7272673660621004	0.017149199914918867
ENSG00000248192.1	ENSG00000248192	ATG10-AS1	ATG10	ENSG00000152348.15	ENSG00000152348	0.7349041456538892	0.015463794626073737
ENSG00000249087.6	ENSG00000249087	ZNF436-AS1	ZNF436	ENSG00000125945.14	ENSG00000125945	0.8427957816931403	0.0022002075209992932
ENSG00000249310.2	ENSG00000249310	APOBEC3B-AS1	APOBEC3B	ENSG00000179750.15	ENSG00000179750	0.6327882432843506	0.049578522405589756
ENSG00000249421.1	ENSG00000249421	ADAMTS19-AS1	ADAMTS19	ENSG00000145808.9	ENSG00000145808	0.7597370908136858	0.01078193263505089
ENSG00000251279.1	ENSG00000251279	SMIM15-AS1	SMIM15	ENSG00000188725.7	ENSG00000188725	0.7622101269417886	0.010378490055621284
ENSG00000253563.2	ENSG00000253563	NKX2-1-AS1	NKX2-1	ENSG00000136352.17	ENSG00000136352	-0.7964966876368255	0.005821973286607799
ENSG00000253661.1	ENSG00000253661	ZFHX4-AS1	ZFHX4	ENSG00000091656.16	ENSG00000091656	0.8196344916354147	0.0037013536399142684
ENSG00000254453.1	ENSG00000254453	NAV2-AS2	NAV2	ENSG00000166833.20	ENSG00000166833	0.7036003060124295	0.023177040381341236
ENSG00000255153.1	ENSG00000255153	TOLLIP-AS1	TOLLIP	ENSG00000078902.15	ENSG00000078902	0.7948209780847018	0.006003061755868517
ENSG00000255737.2	ENSG00000255737	AGAP2-AS1	AGAP2	ENSG00000135439.11	ENSG00000135439	-0.8221478976056819	0.00351061934822496
ENSG00000255867.1	ENSG00000255867	DENND5B-AS1	DENND5B	ENSG00000170456.15	ENSG00000170456	-0.8039710364965373	0.005061336932896093
ENSG00000256271.1	ENSG00000256271	CACNA1C-AS2	CACNA1C	ENSG00000151067.21	ENSG00000151067	-0.7066137866804976	0.022338989476404572
ENSG00000257167.2	ENSG00000257167	TMPO-AS1	TMPO	ENSG00000120802.13	ENSG00000120802	0.7423145182465956	0.013942146504828364
ENSG00000257702.3	ENSG00000257702	LBX2-AS1	LBX2	ENSG00000179528.15	ENSG00000179528	0.7069852356061792	0.022237156401549538
ENSG00000257935.2	ENSG00000257935	LHX5-AS1	LHX5	ENSG00000089116.3	ENSG00000089116	0.9256463146238687	1.2215227936921273e-4
ENSG00000258498.8	ENSG00000258498	DIO3OS	DIO3	ENSG00000197406.7	ENSG00000197406	0.9724971492812104	2.4214917764342834e-6
ENSG00000258584.2	ENSG00000258584	FAM181A-AS1	FAM181A	ENSG00000140067.6	ENSG00000140067	0.8035893648208918	0.005098355329437746
ENSG00000259673.5	ENSG00000259673	IQCH-AS1	IQCH	ENSG00000103599.19	ENSG00000103599	0.6502712417969563	0.0417843322873728
ENSG00000259863.1	ENSG00000259863	SH3RF3-AS1	SH3RF3	ENSG00000172985.10	ENSG00000172985	0.7957390181588475	0.0059033632675585
ENSG00000261183.5	ENSG00000261183	SPINT1-AS1	SPINT1	ENSG00000166145.14	ENSG00000166145	0.826408723713858	0.0032035494509684687
ENSG00000261359.2	ENSG00000261359	PYCARD-AS1	PYCARD	ENSG00000103490.13	ENSG00000103490	0.7174950101290448	0.019486717024820948
ENSG00000261373.1	ENSG00000261373	VPS9D1-AS1	VPS9D1	ENSG00000075399.13	ENSG00000075399	-0.7451286176952955	0.013392779341591833
