lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor	lfc_lnc	lnc_deg_cmp	lfc_pc	pc_deg_cmp	both_deg	corr_type
ENSG00000255737.2	ENSG00000255737	AGAP2-AS1	AGAP2	ENSG00000135439.11	ENSG00000135439	-0.8221478976056819	0.00351061934822496	1.4877656674387987	FALSE	-2.480602679172622	TRUE	FALSE	Negative
ENSG00000255867.1	ENSG00000255867	DENND5B-AS1	DENND5B	ENSG00000170456.15	ENSG00000170456	-0.8039710364965373	0.005061336932896093	0.5230468779536962	FALSE	0.11102786861128053	FALSE	FALSE	Negative
ENSG00000256271.1	ENSG00000256271	CACNA1C-AS2	CACNA1C	ENSG00000151067.21	ENSG00000151067	-0.7066137866804976	0.022338989476404572	-3.1277068545660316	FALSE	1.9799350960913857	FALSE	FALSE	Negative
ENSG00000257167.2	ENSG00000257167	TMPO-AS1	TMPO	ENSG00000120802.13	ENSG00000120802	0.7423145182465956	0.013942146504828364	-0.9903248385068911	FALSE	-2.30744427266412	TRUE	FALSE	Positive Down
ENSG00000257702.3	ENSG00000257702	LBX2-AS1	LBX2	ENSG00000179528.15	ENSG00000179528	0.7069852356061792	0.022237156401549538	0.827748321666592	FALSE	0.5974215665838503	FALSE	FALSE	Positive Up
ENSG00000258498.8	ENSG00000258498	DIO3OS	DIO3	ENSG00000197406.7	ENSG00000197406	0.9724971492812104	2.4214917764342834e-6	5.412071939458234	TRUE	5.417924385431413	TRUE	TRUE	Positive Up
ENSG00000258584.2	ENSG00000258584	FAM181A-AS1	FAM181A	ENSG00000140067.6	ENSG00000140067	0.8035893648208918	0.005098355329437746	3.0675719312775	FALSE	5.220757137190607	TRUE	FALSE	Positive Up
ENSG00000259673.5	ENSG00000259673	IQCH-AS1	IQCH	ENSG00000103599.19	ENSG00000103599	0.6502712417969563	0.0417843322873728	-0.5626237788885451	FALSE	1.0642812756470177	FALSE	FALSE	Negative
ENSG00000259863.1	ENSG00000259863	SH3RF3-AS1	SH3RF3	ENSG00000172985.10	ENSG00000172985	0.7957390181588475	0.0059033632675585	2.0390221496857435	FALSE	1.559847052244213	FALSE	FALSE	Positive Up
ENSG00000261183.5	ENSG00000261183	SPINT1-AS1	SPINT1	ENSG00000166145.14	ENSG00000166145	0.826408723713858	0.0032035494509684687	-2.122005841806595	TRUE	-1.9249630184698485	FALSE	FALSE	Positive Down
ENSG00000261373.1	ENSG00000261373	VPS9D1-AS1	VPS9D1	ENSG00000075399.13	ENSG00000075399	-0.7451286176952955	0.013392779341591833	-0.21246047331836204	FALSE	0.9666779272896642	FALSE	FALSE	Negative
ENSG00000261971.7	ENSG00000261971	MMP25-AS1	MMP25	ENSG00000008516.16	ENSG00000008516	-0.7680224048174602	0.009472310359930871	0.48457574787436936	FALSE	-4.689652766475271	TRUE	FALSE	Negative
ENSG00000265148.5	ENSG00000265148	TSPOAP1-AS1	TSPOAP1	ENSG00000005379.16	ENSG00000005379	0.9321941161636074	8.51656629131522e-5	-1.1052128945903243	FALSE	0.9702221305281107	FALSE	FALSE	Negative
ENSG00000265666.1	ENSG00000265666	RARA-AS1	RARA	ENSG00000131759.17	ENSG00000131759	0.8250505620935596	0.003299243348998397	1.3282782607540307	FALSE	1.7412506213542627	FALSE	FALSE	Positive Up
ENSG00000266916.5	ENSG00000266916	ZNF793-AS1	ZNF793	ENSG00000188227.12	ENSG00000188227	0.8848875307145264	6.670802955747059e-4	0.858325499175615	FALSE	0.22828163960592016	FALSE	FALSE	Positive Up
ENSG00000267106.5	ENSG00000267106	ZNF561-AS1	ZNF561	ENSG00000171469.10	ENSG00000171469	0.7093911569330322	0.021585304387592083	1.1399808389703479	FALSE	0.4250784146923966	FALSE	FALSE	Positive Up
ENSG00000268006.1	ENSG00000268006	PTOV1-AS1	PTOV1	ENSG00000104960.15	ENSG00000104960	0.8028083406125659	0.005174708569705403	0.6097720714416607	FALSE	0.13549556389804152	FALSE	FALSE	Positive Up
ENSG00000269834.5	ENSG00000269834	ZNF528-AS1	ZNF528	ENSG00000167555.13	ENSG00000167555	0.7199385613308379	0.018882742946794335	0.7670307702036716	FALSE	0.3012486854399261	FALSE	FALSE	Positive Up
ENSG00000270362.1	ENSG00000270362	HMGN3-AS1	HMGN3	ENSG00000118418.14	ENSG00000118418	0.6532821948495252	0.040530952105720205	1.1880397910295828	FALSE	0.12491608416069598	FALSE	FALSE	Positive Up
ENSG00000271826.5	ENSG00000271826	PLS3-AS1	PLS3	ENSG00000102024.17	ENSG00000102024	0.6761850057083816	0.0318160565372233	0.7607776426514182	FALSE	0.11958911893366755	FALSE	FALSE	Positive Up
ENSG00000272620.1	ENSG00000272620	AFAP1-AS1	AFAP1	ENSG00000196526.10	ENSG00000196526	-0.6910732018956471	0.026893027928166995	0.737609320830159	FALSE	-0.10119107990957238	FALSE	FALSE	Negative
ENSG00000273888.1	ENSG00000273888	FRMD6-AS1	FRMD6	ENSG00000139926.15	ENSG00000139926	0.7916508817410056	0.006356550076595482	2.641040620469436	FALSE	0.3884130595748321	FALSE	FALSE	Positive Up
