comparison	rank_idx	geneId	geneName	biotype	direction	rank_score	log2FoldChange	fc_for_filter	padj	pvalue
D0 vs D28	5	ENSG00000111783.12	RFX4	Protein-coding	Up	9.89288224417044	9.89288224417044	966.2547139650832	2.6421387407622943e-18	9.226218377425152e-20
D0 vs D28	6	ENSG00000185559.14	DLK1	Protein-coding	Up	9.862947504487272	9.862947504487272	930.3322088769779	9.42959937e-316	5.581e-320
D0 vs D28	7	ENSG00000118271.10	TTR	Protein-coding	Up	9.789500891271636	9.789500891271636	Inf	2.9998513710955e-7	3.556286870445245e-8
D0 vs D28	8	ENSG00000248329.5	APELA	Protein-coding	Down	9.389760135785547	-9.389760135785547	623.4909816119776	3.257479651992883e-42	2.9304977929860215e-44
D0 vs D28	9	ENSG00000237412.6	PRSS56	Protein-coding	Up	9.217633731157505	9.217633731157505	606.6579162020191	1.0200062440639012e-12	5.937300552767455e-14
D0 vs D28	10	ENSG00000080511.3	RDH8	Protein-coding	Down	9.175898488012724	-9.175898488012724	398.6223505758582	6.847364317490818e-17	2.690962302801789e-18
D0 vs D28	11	ENSG00000147655.10	RSPO2	Protein-coding	Up	9.17043785932298	9.17043785932298	Inf	1.7157153969459201e-6	2.3121945779154002e-7
D0 vs D28	12	ENSG00000197408.9	CYP2B6	Protein-coding	Down	9.133644425094733	-9.133644425094733	Inf	3.344441338388769e-13	1.801279366674822e-14
D0 vs D28	13	ENSG00000124839.12	RAB17	Protein-coding	Down	9.125877580004857	-9.125877580004857	519.5615007088087	1.0980203515133942e-39	1.143771199493119e-41
D0 vs D28	14	ENSG00000144834.13	TAGLN3	Protein-coding	Up	9.061694355087122	9.061694355087122	513.0355392401849	6.158673356203733e-17	2.4020867316159206e-18
D0 vs D28	15	ENSG00000146374.13	RSPO3	Protein-coding	Up	9.056473841570666	9.056473841570666	Inf	1.1668044285679982e-6	1.5351599459674836e-7
D0 vs D28	16	ENSG00000131203.12	IDO1	Protein-coding	Down	9.054605332470349	-9.054605332470349	Inf	6.098885175626689e-13	3.4255693842742235e-14
D0 vs D28	17	ENSG00000219445.2	AC019155.2	lncRNA	Down	9.020323175766562	-9.020323175766562	1118.8378243756779	1.702017371411382e-31	2.6291816639344856e-33
D0 vs D28	18	ENSG00000254934.5	LINC00678	lncRNA	Down	8.999450227739883	-8.999450227739883	606.853278658689	7.952978768444508e-52	4.848229244494462e-54
D0 vs D28	19	ENSG00000182968.4	SOX1	Protein-coding	Up	8.984263761039802	8.984263761039802	Inf	3.0007372725759153e-12	1.85237273632616e-13
D0 vs D28	20	ENSG00000126550.8	HTN1	Protein-coding	Down	8.918169197153368	-8.918169197153368	Inf	1.604433598845526e-12	9.524425305646677e-14
D0 vs D28	21	ENSG00000103089.8	FA2H	Protein-coding	Down	8.88718755365114	-8.88718755365114	Inf	1.969409994543754e-12	1.1912506003928247e-13
D0 vs D28	22	ENSG00000122012.13	SV2C	Protein-coding	Up	8.855615118632347	8.855615118632347	Inf	1.6880934163838782e-11	1.129991509191623e-12
D0 vs D28	23	ENSG00000157005.3	SST	Protein-coding	Up	8.790328999554212	8.790328999554212	Inf	8.455857642758563e-8	9.11847338133647e-9
D0 vs D28	24	ENSG00000128573.24	FOXP2	Protein-coding	Up	8.764157624078827	8.764157624078827	Inf	3.298479239336624e-11	2.2528675675866855e-12
D0 vs D28	25	ENSG00000015592.16	STMN4	Protein-coding	Up	8.764133934343503	8.764133934343503	447.13937912315924	4.3355187376232634e-12	2.7096992110145396e-13
D0 vs D28	26	ENSG00000258498.8	DIO3OS	lncRNA	Up	8.736804595880926	8.736804595880926	Inf	4.0138588442906546e-11	2.7581025794397784e-12
D0 vs D28	27	ENSG00000129514.5	FOXA1	Protein-coding	Up	8.723901812185932	8.723901812185932	Inf	1.193546547726151e-11	7.876446500441869e-13
D0 vs D28	28	ENSG00000280511.1	AL591030.1	lncRNA	Down	8.680060584996093	-8.680060584996093	1232.216398458181	5.2891720496335705e-15	2.4260821132019515e-16
D0 vs D28	29	ENSG00000254656.2	RTL1	Protein-coding	Up	8.658332468745327	8.658332468745327	Inf	1.6784364428677206e-11	1.1225338425902724e-12
D0 vs D28	30	ENSG00000255666.6	AP000943.2	lncRNA	Down	8.616266295554167	-8.616266295554167	825.2504138763023	8.717113285695336e-55	4.694941459506839e-57
D0 vs D28	31	ENSG00000080166.15	DCT	Protein-coding	Up	8.591241513293838	8.591241513293838	Inf	2.461631912220909e-11	1.6681868723324697e-12
D0 vs D28	32	ENSG00000184144.11	CNTN2	Protein-coding	Up	8.590088361143858	8.590088361143858	404.1548185231916	1.169511880116438e-28	2.076548082593107e-30
D0 vs D28	33	ENSG00000282024.1	AL009031.1	lncRNA	Down	8.589718583523837	-8.589718583523837	895.4169438815289	1.695666673592857e-18	5.81078955971984e-20
D0 vs D28	34	ENSG00000278910.4	BANCR	lncRNA	Down	8.574462043130207	-8.574462043130207	Inf	1.827138286722207e-11	1.2263108529492086e-12
D0 vs D28	35	ENSG00000230937.11	MIR205HG	lncRNA	Down	8.508702524369085	-8.508702524369085	846.3249141461371	3.984381479078464e-18	1.407833654717e-19
D0 vs D28	36	ENSG00000170091.10	NSG2	Protein-coding	Up	8.502812839204683	8.502812839204683	422.8452365230078	2.3247598620079852e-11	1.5740561565679066e-12
D0 vs D28	37	ENSG00000162761.14	LMX1A	Protein-coding	Up	8.481409998999387	8.481409998999387	Inf	2.586509872473952e-7	3.020350365998525e-8
D0 vs D28	38	ENSG00000215386.12	MIR99AHG	lncRNA	Up	8.468424505545165	8.468424505545165	Inf	2.6797098435371345e-10	2.0475292424280546e-11
D0 vs D28	39	ENSG00000180347.13	ITPRID1	Protein-coding	Down	8.449132011835157	-8.449132011835157	Inf	4.722789385607427e-11	3.2787831139426564e-12
D0 vs D28	40	ENSG00000145721.11	LIX1	Protein-coding	Up	8.429620957806424	8.429620957806424	Inf	4.374399936054412e-6	6.348265058715329e-7
D0 vs D28	41	ENSG00000143632.14	ACTA1	Protein-coding	Down	8.41825755014118	-8.41825755014118	218.14518066956668	2.2607432338765515e-82	5.0845314208871305e-85
D0 vs D28	42	ENSG00000184012.11	TMPRSS2	Protein-coding	Down	8.407852844662267	-8.407852844662267	1020.3772228527424	6.631636898081579e-14	3.344078265367842e-15
D0 vs D28	43	ENSG00000137959.15	IFI44L	Protein-coding	Up	8.39374794904579	8.39374794904579	354.96077081706335	6.296622790691969e-11	4.457126454585461e-12
D0 vs D28	44	ENSG00000105996.6	HOXA2	Protein-coding	Up	8.339407635168854	8.339407635168854	Inf	3.7167609470378535e-6	5.321285943942097e-7
D0 vs D28	45	ENSG00000254365.1	AC091820.2	lncRNA	Down	8.327824639208908	-8.327824639208908	Inf	9.746048351981129e-11	7.031506238793204e-12
D0 vs D28	46	ENSG00000173452.13	TMEM196	Protein-coding	Up	8.308828486267755	8.308828486267755	Inf	2.410779856894424e-10	1.8292020457733496e-11
D0 vs D28	47	ENSG00000236673.5	AL117378.1	lncRNA	Down	8.275174363580412	-8.275174363580412	469.9381705277868	4.611064295377033e-16	1.92946404878762e-17
D0 vs D28	48	ENSG00000180176.14	TH	Protein-coding	Up	8.229369897544148	8.229369897544148	Inf	5.412335026228159e-10	4.295656528274124e-11
D0 vs D28	49	ENSG00000143869.6	GDF7	Protein-coding	Up	8.209300851227004	8.209300851227004	302.94747626971287	1.3340690280322132e-19	4.247923396551436e-21
D0 vs D28	50	ENSG00000167941.2	SOST	Protein-coding	Up	8.204328353862838	8.204328353862838	305.42633263929025	2.2377654313672907e-5	3.719374026104821e-6
