geneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	comparison	mean_norm_a	mean_norm_b	fc_norm	abs_fc_norm	direction	max_fpkm_pair	geneName	raw_biotype	biotype	fc_for_filter	lfc_equiv_for_filter	is_deg
ENSG00000248329.5	8.174536918450539	-3.7960652990525863	0.8393932735048971	-4.522391850010982	6.1144730117334265e-6	5.6945432141091673e-5	ENSG00000248329	D14 vs D28	13.53965999601046	1.021039481703976	0.07541101342314588	13.260662529341772	Down	2.94869	APELA	protein_coding	Protein-coding	13.260662529341772	3.729080952081293	TRUE
ENSG00000145087.12	12.678967489328285	3.039740988428416	0.6721856022878838	4.522175092834784	6.120739510509501e-6	5.697254134288943e-5	ENSG00000145087	D14 vs D28	3.218465585859438	25.292970027286746	7.858704513856927	7.858704513856927	Up	2.28201	STXBP5L	protein_coding	Protein-coding	7.858704513856927	2.974291507716099	TRUE
ENSG00000204175.5	6.042717539748439	5.268133007061514	1.1658990754298022	4.518515468518959	6.22747244956146e-6	5.790253409017222e-5	ENSG00000204175	D14 vs D28	0.294508111908273	13.706996776868664	46.54200078922724	46.54200078922724	Up	3.60058	GPRIN2	protein_coding	Protein-coding	46.54200078922724	5.540461326830683	TRUE
ENSG00000102981.9	19.08245689441308	2.2968362305124734	0.5096503626635602	4.506690073776526	6.58467016664579e-6	6.115674512544433e-5	ENSG00000102981	D14 vs D28	7.306152649341965	34.784195887841236	4.760945679252145	4.760945679252145	Up	14.5088	PARD6A	protein_coding	Protein-coding	4.760945679252145	2.251248168335414	TRUE
ENSG00000189350.12	5.9996209167091825	5.280857148596977	1.1722436482070615	4.504914278421564	6.6399740719471095e-6	6.160299442268745e-5	ENSG00000189350	D14 vs D28	0.3163848910417363	13.577268950932442	42.91377159708104	42.91377159708104	Up	2.81074	TOGARAM2	protein_coding	Protein-coding	42.91377159708104	5.4233687968426345	TRUE
ENSG00000137142.4	117.1610088469353	3.1310355523363587	0.6952239606387739	4.503635849172335	6.680063223745994e-6	6.188493753731687e-5	ENSG00000137142	D14 vs D28	27.188507763467456	237.12434362489248	8.721491656982762	8.721491656982762	Up	139.757	IGFBPL1	protein_coding	Protein-coding	8.721491656982762	3.1245749035904975	TRUE
ENSG00000128610.11	15.741253002877446	6.687188570999427	1.485098236573331	4.5028594111250415	6.704523774737799e-6	6.203237310490373e-5	ENSG00000128610	D14 vs D28	0.3163848910417363	36.307743818658395	114.75814694915003	114.75814694915003	Up	24.1567	FEZF1	protein_coding	Protein-coding	114.75814694915003	6.842452767343401	TRUE
ENSG00000141639.11	18.026456464087055	2.104381074806466	0.46786703220922904	4.497818674826807	6.865421030782471e-6	6.327965160728816e-5	ENSG00000141639	D14 vs D28	7.269550520125904	32.36899772270192	4.45268213393492	4.45268213393492	Up	3.04603	MAPK4	protein_coding	Protein-coding	4.45268213393492	2.1546746249934925	TRUE
ENSG00000168874.12	36.016041630526	2.4215978848890756	0.5392067026167385	4.491038173556083	7.0876845247394734e-06	6.497554420141834e-5	ENSG00000168874	D14 vs D28	12.875507842179916	66.87008668165412	5.193588284152101	5.193588284152101	Up	20.5816	ATOH8	protein_coding	Protein-coding	5.193588284152101	2.37673165052865	TRUE
ENSG00000259663.2	5.539417267830987	5.816794719904869	1.298135748503032	4.480883240918839	7.4334771348294014e-6	6.806736380869455e-5	ENSG00000259663	D14 vs D28	0	12.925306958272303	Inf	Inf	Up	2.19251	AC010478.1	lncRNA	lncRNA	Inf	Inf	TRUE
